gpu,model,pci_bus,numa,memory_mib,app_graphics_mhz,max_graphics_mhz,memory_clock_mhz,power_default_w,local_copy_gbps
0,Tesla V100-PCIE-32GB,04:00.0,0,32768,1230,1380,877,250,807.49
1,Tesla V100-PCIE-32GB,05:00.0,0,32768,1230,1380,877,250,809.17
2,Tesla V100-PCIE-32GB,06:00.0,0,32768,1230,1380,877,250,807.49
3,Tesla V100-PCIE-32GB,07:00.0,0,32768,1230,1380,877,250,796.38
4,Tesla V100-PCIE-32GB,08:00.0,0,32768,1230,1380,877,250,795.98
5,Tesla V100-PCIE-32GB,0B:00.0,0,32768,1230,1380,877,250,808.75
6,Tesla V100S-PCIE-32GB,0C:00.0,0,32768,1245,1597,1107,250,1017.25
7,Quadro GV100,0D:00.0,0,32768,1132,1912,850,250,590.96
8,Tesla PG500-216,0E:00.0,0,32768,1260,1380,1107,250,1010.67
9,Quadro GV100,0F:00.0,0,32768,1132,1912,850,250,590.51
10,Tesla V100-FHHL-16GB,82:00.0,1,16384,937,1290,810,150,748.68
